job_title,salary_range,company_profile,requirements,fraudulent
Easy Income Job,37067 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Software Engineer,73728 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Part-Time Typing Job,12110 per month,Newly launched company offering huge income,"No interview, just register online",1
Freelance Job Without Skills,20162 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Graphic Designer,39934 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Freelance Job Without Skills,31316 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Financial Analyst,63051 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Work From Home - Earn $5000 Weekly,47896 per month,"No official address, only online presence","No interview, just register online",1
Financial Analyst,35375 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Online Form Filling Job,44756 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Easy Income Job,24730 per month,No verified contact details available,"No experience required, just internet access",1
Customer Support Executive,86974 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,73600 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Instant Joining Job,45623 per month,"No official address, only online presence","No interview, just register online",1
Data Entry Without Experience,26536 per month,No verified contact details available,Work 2 hours a day and earn big,1
Customer Support Executive,42826 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,51132 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Software Engineer,60094 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Data Analyst,35628 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Sales Associate,37299 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Urgent Hiring - No Interview,44517 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Sales Associate,76135 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,12465 per month,No verified contact details available,"No interview, just register online",1
Instant Joining Job,43405 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Get Paid Daily From Home,32048 per month,Newly launched company offering huge income,"No interview, just register online",1
Financial Analyst,81320 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Network Administrator,45181 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Online Form Filling Job,43030 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Freelance Job Without Skills,14781 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Sales Associate,69753 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Freelance Job Without Skills,26142 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Freelance Job Without Skills,45894 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Software Engineer,66641 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,62357 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Urgent Hiring - No Interview,47572 per month,"No official address, only online presence","No experience required, just internet access",1
Software Engineer,58546 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,35327 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Part-Time Typing Job,27135 per month,Company promises instant returns,Click ads and get paid instantly,1
Online Form Filling Job,19307 per month,"No official address, only online presence","Immediate start, limited positions available",1
Graphic Designer,67569 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Easy Income Job,33838 per month,"No official address, only online presence","Immediate start, limited positions available",1
International Job With Free Visa,14970 per month,"No official address, only online presence","No interview, just register online",1
Instant Joining Job,14125 per month,Company promises instant returns,"No interview, just register online",1
Data Analyst,33141 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,51773 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Marketing Manager,45028 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Financial Analyst,52829 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Graphic Designer,84258 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Freelance Job Without Skills,29064 per month,No verified contact details available,"No interview, just register online",1
Data Entry Without Experience,39658 per month,Company promises instant returns,Click ads and get paid instantly,1
HR Specialist,39495 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Network Administrator,81312 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,42117 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,14468 per month,"No official address, only online presence",Click ads and get paid instantly,1
Urgent Hiring - No Interview,32410 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Network Administrator,79260 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Graphic Designer,74547 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,81153 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,41642 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Network Administrator,85216 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Sales Associate,56314 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,36182 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Data Entry Without Experience,22100 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
International Job With Free Visa,48697 per month,Company promises instant returns,"No interview, just register online",1
Software Engineer,76022 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,30792 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Network Administrator,36507 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Data Analyst,63147 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Customer Support Executive,58897 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Customer Support Executive,73960 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,48358 per month,Company promises instant returns,Click ads and get paid instantly,1
Part-Time Typing Job,27906 per month,Company promises instant returns,"No experience required, just internet access",1
Freelance Job Without Skills,22319 per month,No verified contact details available,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,30904 per month,Company promises instant returns,"No interview, just register online",1
Software Engineer,83043 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Network Administrator,51959 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Software Engineer,43548 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Financial Analyst,43402 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Marketing Manager,76978 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Network Administrator,89809 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Data Analyst,72069 per annum,Leading marketing firm in the US,"Proficient in Python and SQL, good analytical skills",0
Instant Joining Job,15660 per month,"No official address, only online presence","Immediate start, limited positions available",1
Easy Income Job,30900 per month,No verified contact details available,Work 2 hours a day and earn big,1
Software Engineer,47967 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,25868 per month,Company promises instant returns,"Immediate start, limited positions available",1
Part-Time Typing Job,18920 per month,Company promises instant returns,"No experience required, just internet access",1
Get Paid Daily From Home,27609 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Instant Joining Job,17647 per month,No verified contact details available,Work 2 hours a day and earn big,1
Instant Joining Job,39085 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Sales Associate,36292 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,11482 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Data Analyst,86946 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,32541 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Sales Associate,76497 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Network Administrator,67908 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Urgent Hiring - No Interview,11397 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Sales Associate,51664 per annum,Reputed IT company with 10 years of experience,"Bachelor's degree, 2+ years experience, strong communication skills",0
Urgent Hiring - No Interview,48299 per month,Company promises instant returns,"No experience required, just internet access",1
Graphic Designer,64261 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Easy Income Job,29082 per month,No verified contact details available,"No interview, just register online",1
HR Specialist,75375 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Urgent Hiring - No Interview,36278 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Data Entry Without Experience,38939 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,46909 per month,No verified contact details available,"No experience required, just internet access",1
Freelance Job Without Skills,13833 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Easy Income Job,49517 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Software Engineer,86346 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Online Form Filling Job,22804 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Software Engineer,59608 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,21533 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Freelance Job Without Skills,15220 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
HR Specialist,56885 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Freelance Job Without Skills,17754 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Financial Analyst,30858 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Data Entry Without Experience,46873 per month,Company promises instant returns,Work 2 hours a day and earn big,1
HR Specialist,42981 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Easy Income Job,13397 per month,"No official address, only online presence","No experience required, just internet access",1
Instant Joining Job,34587 per month,No verified contact details available,"No interview, just register online",1
Web Developer,80240 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Network Administrator,78458 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Online Form Filling Job,37125 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Marketing Manager,33243 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Instant Joining Job,41013 per month,"No official address, only online presence","Immediate start, limited positions available",1
Urgent Hiring - No Interview,31734 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Instant Joining Job,46328 per month,"No official address, only online presence","No experience required, just internet access",1
Online Form Filling Job,13113 per month,No verified contact details available,"No interview, just register online",1
Software Engineer,65504 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Financial Analyst,89053 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
HR Specialist,83585 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Web Developer,87048 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Get Paid Daily From Home,11368 per month,Fake testimonials and unverifiable claims,"No experience required, just internet access",1
Instant Joining Job,18265 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,35720 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Instant Joining Job,15071 per month,"No official address, only online presence",Click ads and get paid instantly,1
Instant Joining Job,48455 per month,Company promises instant returns,"No interview, just register online",1
International Job With Free Visa,28482 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Freelance Job Without Skills,44467 per month,No verified contact details available,"No experience required, just internet access",1
Online Form Filling Job,32894 per month,"No official address, only online presence","No interview, just register online",1
Instant Joining Job,28735 per month,No verified contact details available,Work 2 hours a day and earn big,1
Instant Joining Job,15105 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Network Administrator,86479 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Instant Joining Job,42143 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Instant Joining Job,41656 per month,Company promises instant returns,"Immediate start, limited positions available",1
Data Analyst,36080 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Instant Joining Job,35780 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Marketing Manager,40772 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Online Form Filling Job,21943 per month,"No official address, only online presence","No interview, just register online",1
HR Specialist,31414 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Urgent Hiring - No Interview,22820 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Part-Time Typing Job,20579 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Freelance Job Without Skills,46567 per month,Newly launched company offering huge income,"No interview, just register online",1
Financial Analyst,75231 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Urgent Hiring - No Interview,15720 per month,"No official address, only online presence","Immediate start, limited positions available",1
Part-Time Typing Job,10714 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Software Engineer,30146 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Easy Income Job,35285 per month,"No official address, only online presence",Click ads and get paid instantly,1
Web Developer,44024 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,48686 per annum,Leading marketing firm in the US,"Knowledge of Adobe Photoshop, creativity required",0
Online Form Filling Job,47012 per month,No verified contact details available,Work 2 hours a day and earn big,1
Work From Home - Earn $5000 Weekly,14215 per month,"No official address, only online presence","Immediate start, limited positions available",1
Instant Joining Job,48764 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Software Engineer,42929 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Sales Associate,40473 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Financial Analyst,53886 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Get Paid Daily From Home,15957 per month,"No official address, only online presence",Click ads and get paid instantly,1
International Job With Free Visa,16703 per month,"No official address, only online presence","Immediate start, limited positions available",1
Freelance Job Without Skills,13410 per month,No verified contact details available,Work 2 hours a day and earn big,1
Get Paid Daily From Home,33442 per month,Company promises instant returns,"Immediate start, limited positions available",1
HR Specialist,66772 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Data Entry Without Experience,26415 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Get Paid Daily From Home,28453 per month,No verified contact details available,Click ads and get paid instantly,1
Part-Time Typing Job,36640 per month,No verified contact details available,"No interview, just register online",1
Customer Support Executive,37116 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Network Administrator,45027 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Marketing Manager,75833 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,62660 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
International Job With Free Visa,23926 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Part-Time Typing Job,33456 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
HR Specialist,72073 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Data Analyst,86807 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Instant Joining Job,12828 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Sales Associate,89214 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Easy Income Job,27984 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Data Entry Without Experience,16454 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Sales Associate,32983 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Graphic Designer,39070 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Software Engineer,35031 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Customer Support Executive,84606 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
International Job With Free Visa,12242 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Data Analyst,45648 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Freelance Job Without Skills,20832 per month,"No official address, only online presence","Immediate start, limited positions available",1
Part-Time Typing Job,36417 per month,Company promises instant returns,"Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,41163 per month,"No official address, only online presence","Immediate start, limited positions available",1
Work From Home - Earn $5000 Weekly,41178 per month,No verified contact details available,"Immediate start, limited positions available",1
Sales Associate,60255 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Work From Home - Earn $5000 Weekly,40300 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Graphic Designer,48481 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,79026 per annum,Global finance corporation with 500+ employees,"Proficient in Python and SQL, good analytical skills",0
Instant Joining Job,46039 per month,Newly launched company offering huge income,"No interview, just register online",1
Customer Support Executive,52497 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Get Paid Daily From Home,31254 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Freelance Job Without Skills,37562 per month,No verified contact details available,"No experience required, just internet access",1
HR Specialist,88097 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
International Job With Free Visa,17662 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
Urgent Hiring - No Interview,40095 per month,"No official address, only online presence","Immediate start, limited positions available",1
Financial Analyst,48760 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Get Paid Daily From Home,23393 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Part-Time Typing Job,45853 per month,Newly launched company offering huge income,"No interview, just register online",1
Get Paid Daily From Home,30851 per month,No verified contact details available,"Immediate start, limited positions available",1
Get Paid Daily From Home,12602 per month,"No official address, only online presence","Immediate start, limited positions available",1
Freelance Job Without Skills,42882 per month,"No official address, only online presence",Click ads and get paid instantly,1
Part-Time Typing Job,42601 per month,"No official address, only online presence","No experience required, just internet access",1
Data Analyst,46844 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,47698 per month,Newly launched company offering huge income,"No interview, just register online",1
Financial Analyst,74441 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,80426 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Data Entry Without Experience,44206 per month,"No official address, only online presence","No interview, just register online",1
Urgent Hiring - No Interview,45554 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Graphic Designer,50074 per annum,Leading marketing firm in the US,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,35754 per month,Company promises instant returns,Click ads and get paid instantly,1
Customer Support Executive,58854 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Work From Home - Earn $5000 Weekly,48525 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Online Form Filling Job,39331 per month,"No official address, only online presence","No interview, just register online",1
Online Form Filling Job,17970 per month,Company promises instant returns,"No interview, just register online",1
Customer Support Executive,47445 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Graphic Designer,76309 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Instant Joining Job,42961 per month,No verified contact details available,"No interview, just register online",1
Data Entry Without Experience,20086 per month,"No official address, only online presence","No interview, just register online",1
Data Entry Without Experience,42088 per month,"No official address, only online presence","No experience required, just internet access",1
Work From Home - Earn $5000 Weekly,16413 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Freelance Job Without Skills,35330 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Online Form Filling Job,20025 per month,No verified contact details available,"No experience required, just internet access",1
Web Developer,71591 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Urgent Hiring - No Interview,48385 per month,No verified contact details available,Click ads and get paid instantly,1
Part-Time Typing Job,32518 per month,Company promises instant returns,Click ads and get paid instantly,1
Customer Support Executive,76775 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Data Analyst,67175 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Marketing Manager,69202 per annum,Leading marketing firm in the US,"Experience in marketing campaigns, content creation",0
HR Specialist,36679 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Financial Analyst,57811 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
HR Specialist,31433 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Web Developer,85012 per annum,Fast-growing SaaS startup based in India,"Proficient in Python and SQL, good analytical skills",0
Easy Income Job,11643 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Get Paid Daily From Home,34642 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Financial Analyst,45423 per annum,Global finance corporation with 500+ employees,"Experience in marketing campaigns, content creation",0
Software Engineer,51453 per annum,Fast-growing SaaS startup based in India,"Knowledge of Adobe Photoshop, creativity required",0
Work From Home - Earn $5000 Weekly,12441 per month,Company promises instant returns,"Immediate start, limited positions available",1
Software Engineer,64060 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Marketing Manager,54958 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Sales Associate,57663 per annum,Leading marketing firm in the US,Excellent communication and multitasking skills,0
Urgent Hiring - No Interview,19470 per month,Company promises instant returns,Click ads and get paid instantly,1
Get Paid Daily From Home,25714 per month,No verified contact details available,"Immediate start, limited positions available",1
Marketing Manager,78071 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
Financial Analyst,43500 per annum,Reputed IT company with 10 years of experience,"Experience in marketing campaigns, content creation",0
Data Analyst,56284 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Data Analyst,43494 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Urgent Hiring - No Interview,15515 per month,"No official address, only online presence",Click ads and get paid instantly,1
Instant Joining Job,13648 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Network Administrator,46569 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Customer Support Executive,65614 per annum,Trusted e-commerce platform,"Experience in marketing campaigns, content creation",0
Financial Analyst,43248 per annum,Global finance corporation with 500+ employees,Excellent communication and multitasking skills,0
Data Analyst,89425 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Get Paid Daily From Home,28797 per month,Company promises instant returns,Work 2 hours a day and earn big,1
Network Administrator,63770 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Graphic Designer,72990 per annum,Reputed IT company with 10 years of experience,Excellent communication and multitasking skills,0
Network Administrator,77398 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Urgent Hiring - No Interview,19761 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Customer Support Executive,83499 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Data Entry Without Experience,28339 per month,Fake testimonials and unverifiable claims,"Immediate start, limited positions available",1
International Job With Free Visa,35633 per month,Fake testimonials and unverifiable claims,Click ads and get paid instantly,1
Data Entry Without Experience,18761 per month,Company promises instant returns,Click ads and get paid instantly,1
Customer Support Executive,66340 per annum,Trusted e-commerce platform,"Knowledge of Adobe Photoshop, creativity required",0
Easy Income Job,46364 per month,Newly launched company offering huge income,"No experience required, just internet access",1
Urgent Hiring - No Interview,16626 per month,"No official address, only online presence",Work 2 hours a day and earn big,1
Get Paid Daily From Home,23784 per month,Company promises instant returns,"No experience required, just internet access",1
Freelance Job Without Skills,44465 per month,Newly launched company offering huge income,"Immediate start, limited positions available",1
Sales Associate,89061 per annum,Fast-growing SaaS startup based in India,"Experience in marketing campaigns, content creation",0
Get Paid Daily From Home,22475 per month,No verified contact details available,"Immediate start, limited positions available",1
Sales Associate,49250 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
International Job With Free Visa,19014 per month,"No official address, only online presence","No interview, just register online",1
Instant Joining Job,42434 per month,No verified contact details available,"Immediate start, limited positions available",1
Data Entry Without Experience,38041 per month,Fake testimonials and unverifiable claims,Work 2 hours a day and earn big,1
Web Developer,76032 per annum,Trusted e-commerce platform,Excellent communication and multitasking skills,0
Easy Income Job,32790 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Online Form Filling Job,15473 per month,Newly launched company offering huge income,Click ads and get paid instantly,1
Part-Time Typing Job,29313 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Software Engineer,88056 per annum,Global finance corporation with 500+ employees,"Knowledge of Adobe Photoshop, creativity required",0
Customer Support Executive,67372 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
International Job With Free Visa,13513 per month,Company promises instant returns,"No interview, just register online",1
Customer Support Executive,44485 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
International Job With Free Visa,32412 per month,No verified contact details available,"No experience required, just internet access",1
Software Engineer,47298 per annum,Reputed IT company with 10 years of experience,"Proficient in Python and SQL, good analytical skills",0
Web Developer,64532 per annum,Trusted e-commerce platform,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,60176 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Web Developer,53438 per annum,Fast-growing SaaS startup based in India,"Bachelor's degree, 2+ years experience, strong communication skills",0
Customer Support Executive,55246 per annum,Trusted e-commerce platform,"Proficient in Python and SQL, good analytical skills",0
Financial Analyst,83133 per annum,Fast-growing SaaS startup based in India,Excellent communication and multitasking skills,0
HR Specialist,64021 per annum,Global finance corporation with 500+ employees,"Bachelor's degree, 2+ years experience, strong communication skills",0
Easy Income Job,30515 per month,Newly launched company offering huge income,Work 2 hours a day and earn big,1
Freelance Job Without Skills,48169 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Marketing Manager,46245 per annum,Reputed IT company with 10 years of experience,"Knowledge of Adobe Photoshop, creativity required",0
Part-Time Typing Job,21654 per month,Fake testimonials and unverifiable claims,"No interview, just register online",1
Freelance Job Without Skills,23111 per month,No verified contact details available,Click ads and get paid instantly,1
